"","run_id","sim_b","name","Mean","MCSE","StdDev","X5.","X50.","X95.","N_Eff","N_Eff.s","R_hat"
"1",1,-1.39535375456902,"b",-2.1,0,0.9,-3.6,-1.9,-0.9,1523.9,0,1
"2",2,-0.189484306328298,"b",-0.6,0,0.9,-2.1,-0.5,0.9,4421.3,0,1
"3",3,-1.84314167915814,"b",-1.6,0,0.5,-2.5,-1.6,-1,1125.2,0,1
"4",4,-0.0844714083425863,"b",-0.46,0.01,0.66,-1.57,-0.42,0.54,4887.49,0.05,1
"5",5,3.58917688288962,"b",3.6,0,1.2,1.7,3.6,5.8,4420.6,0,1
"6",6,3.28263613652077,"b",2.7,0,0.7,1.6,2.6,4,754.7,0,1
"7",7,-1.2094687049673,"b",0,0.02,1.06,-1.66,-0.04,1.81,2735.93,0.04,1
"8",8,-1.00880974193373,"b",-1.2,0,0.9,-2.9,-1,-0.1,2837.3,0,1
"9",9,-0.0212504387687842,"b",-0.6,0,0.6,-1.8,-0.4,0.1,1978.8,0,1
"10",10,-0.633382893527134,"b",-0.5,0,0.9,-2,-0.5,0.9,2528,0,1
"11",11,-1.06483073998006,"b",-0.9,0,1.3,-3,-1,1.3,2143.7,0,1
"12",12,-3.56548740335108,"b",-2.9,0,0.9,-4.4,-2.8,-1.5,2273.9,0,1
"13",13,-2.14715990949849,"b",-1.7,0,0.5,-2.7,-1.6,-1.1,1627.7,0,1
"14",14,1.41592107646149,"b",1,0,0.6,0.3,0.9,2.1,1814.4,0,1
"15",15,0.0699341284004071,"b",0.04,0.03,0.64,-0.71,0.05,0.9,577.36,0,1.01
"16",16,3.00794719458204,"b",3.4,0,0.8,2.1,3.3,4.9,3937.1,0,1
"17",17,0.745975977098299,"b",1.25,0.02,1.02,-0.14,1.14,3.04,2660.9,0.02,1
"18",18,-1.02296949849994,"b",0.4,0.02,0.93,-0.89,0.25,2.2,2710.62,0.02,1
"19",19,-0.904095818020943,"b",-0.1,0,0.7,-1.2,-0.1,0.8,1888.6,0,1
"20",20,0.0520933331715864,"b",-1.2,0,1.1,-3.1,-1.1,0.5,3790,0,1
"21",21,1.34767577323871,"b",1.77,0.02,1.02,0.56,1.51,3.83,1747.87,0.02,1
"22",22,-2.08704621079908,"b",-2.1,0,0.7,-3.4,-2,-1.2,1415,0,1
"23",23,2.10653145993538,"b",2.4,0,0.3,1.8,2.4,3,2726.9,0,1
"24",24,0.929755068978366,"b",1.1,0.01,0.44,0.55,1.01,1.94,1734.61,0.01,1
"25",25,2.87623008102441,"b",2.4,0,0.2,2,2.4,2.8,1125.5,0,1
"26",26,2.20652034349637,"b",-0.2,0,0.8,-1.4,-0.2,1.2,4218.5,0,1
"27",27,-1.15037211339757,"b",-2.25,0.02,0.91,-3.81,-2.23,-0.87,2534.6,0.02,1
"28",28,0.794522088699184,"b",1,0,1.3,-1.2,1,3,2817,0,1
"29",29,-0.0609266420916377,"b",-0.3,0,0.7,-1.4,-0.2,0.7,4141.2,0,1
"30",30,1.74646185430297,"b",1.4,0,0.4,0.9,1.3,2,2425,0,1
