"","run_id","sim_b","name","Mean","MCSE","StdDev","X5.","X50.","X95.","N_Eff","N_Eff.s","R_hat"
"1",1,0,"b",-1.1,0,0.9,-2.6,-1,0.3,2186.5,0,1
"2",2,0,"b",-0.5,0,0.9,-2,-0.5,0.8,3654.9,0,1
"3",3,0,"b",-0.7,0,0.7,-1.9,-0.7,0.3,3337.3,0,1
"4",4,0,"b",-0.4,0,0.6,-1.4,-0.3,0.6,4514.5,0,1
"5",5,0,"b",0.1,0,0.8,-1.2,0,1.7,3328.1,0,1
"6",6,0,"b",0.7,0,0.8,-0.6,0.7,1.9,2055.7,0,1
"7",7,0,"b",0.4,0,1,-1.2,0.3,2.1,2247.4,0,1
"8",8,0,"b",-0.52,0.01,0.81,-2.04,-0.39,0.61,3895.98,0.04,1
"9",9,0,"b",-0.5,0,0.6,-1.8,-0.4,0.1,2157.2,0,1
"10",10,0,"b",0,0,0.9,-1.4,0,1.4,2954.9,0,1
"11",11,0,"b",-0.5,0,1.3,-2.6,-0.5,1.6,2118,0,1
"12",12,0,"b",0.5,0,1.1,-1,0.3,2.7,3394.9,0,1
"13",13,0,"b",-0.1,0,0.5,-0.9,-0.1,0.8,3929,0,1
"14",14,0,"b",-0.4,0.01,0.67,-1.53,-0.35,0.65,5240.45,0.05,1
"15",15,0,"b",-0.1,0,0.7,-1.2,-0.1,0.8,1657.9,0,1
"16",16,0,"b",0.4,0,0.7,-0.6,0.2,1.8,2562.3,0,1
"17",17,0,"b",-0.54,0.02,1.07,-2.44,-0.4,1.09,3050.2,0.03,1
"18",18,0,"b",0.51,0.02,0.91,-0.69,0.35,2.32,2677.09,0.02,1
"19",19,0,"b",0.5,0,0.6,-0.3,0.4,1.5,2996.3,0,1
"20",20,0,"b",-1.2,0,1.1,-3.2,-1.2,0.4,3559.1,0,1
"21",21,0,"b",-0.66,0.02,1.09,-2.69,-0.49,0.87,3798.53,0.03,1
"22",22,0,"b",0.76,0.02,1.01,-0.71,0.6,2.62,3875.11,0.03,1
"23",23,0,"b",0.9,0,1,-0.1,0.6,2.9,1591.5,0,1
"24",24,0,"b",0.19,0.01,0.55,-0.62,0.15,1.16,3850.22,0.02,1
"25",25,0,"b",0.16,0.01,0.49,-0.44,0.11,1.06,1780.65,0.01,1
"26",26,0,"b",-0.21,0.01,0.79,-1.5,-0.22,1.13,3832.79,0.05,1
"27",27,0,"b",0.1,0,0.9,-1.2,0,1.7,2797.4,0,1
"28",28,0,"b",0.8,0,1.3,-1.4,0.9,2.9,2700.5,0,1
"29",29,0,"b",-0.2,0,0.7,-1.4,-0.1,1,3199.9,0,1
"30",30,0,"b",-0.1,0,0.5,-0.9,-0.1,0.7,2449.9,0,1
