"","run_id","sim_b","name","Mean","MCSE","StdDev","X5.","X50.","X95.","N_Eff","N_Eff.s","R_hat"
"1",1,0,"b",0.03,0.01,0.99,-1.6,0.01,1.69,4574.5,0.14,1
"2",2,0,"b",-1.4,0.02,0.91,-3.07,-1.28,-0.17,2213.92,0.09,1
"3",3,0,"b",-0.68,0.02,0.92,-2.28,-0.6,0.69,3582.22,0.1,1
"4",4,0,"b",-0.4,0,1.1,-2.1,-0.4,1.3,2689.6,0.1,1
"5",5,0,"b",0.7,0,0.8,-0.2,0.6,2.4,2104.6,0,1
"6",6,0,"b",-0.3,0,1,-1.5,-0.4,1.7,1404.5,0,1
"7",7,0,"b",-0.9,0,1.1,-2.8,-0.9,0.9,3451,0.1,1
"8",8,0,"b",0.6,0,0.6,-0.1,0.5,1.9,2787,0.1,1
"9",9,0,"b",0.02,0.02,0.93,-1.47,-0.02,1.63,2752.07,0.12,1
"10",10,0,"b",-0.3,0.1,1.7,-3,-0.4,2.6,947.7,0,1
"11",11,0,"b",2,0,1.2,0.3,1.8,4.2,2716.9,0.1,1
"12",12,0,"b",0.2,0,0.6,-0.8,0.2,1.3,3246.6,0,1
"13",13,0,"b",1.3,0,0.9,-0.1,1.2,3,1469,0,1
"14",14,0,"b",0.9,0,1,-0.6,0.7,2.8,3233.5,0.1,1
"15",15,0,"b",-0.2,0,1,-1.8,-0.2,1.6,1296.6,0,1
"16",16,0,"b",-0.3,0,1,-1.9,-0.3,1.5,1503.5,0.1,1
"17",17,0,"b",-0.6,0,1.9,-3.4,-0.7,2.4,1927.5,0.1,1
"18",18,0,"b",0,0,0.6,-0.8,0,1.3,2275.9,0.1,1
"19",19,0,"b",-0.5,0,1.1,-2.4,-0.3,1.1,3585.2,0.1,1
"20",20,0,"b",0,0,0.9,-1.5,0,1.5,5114.1,0.1,1
"21",21,0,"b",0.4,0,1.5,-1.8,0.2,3,1915.4,0.1,1
"22",22,0,"b",0.5,0,0.6,0,0.4,1.5,1054,0,1
"23",23,0,"b",1.3,0,1.1,0,1.1,3.3,2232.1,0.1,1
"24",24,0,"b",-0.6,0,0.8,-2,-0.5,0.5,2119.7,0,1
"25",25,0,"b",-0.3,0,0.5,-1.2,-0.3,0.4,2604.1,0,1
"26",26,0,"b",-1.5,0,1.1,-3.4,-1.3,0.1,1709.7,0,1
"27",27,0,"b",0.43,0.01,0.72,-0.55,0.34,1.76,3257.66,0.08,1
"28",28,0,"b",0.93,0.01,0.87,-0.24,0.82,2.53,3593.62,0.08,1
"29",29,0,"b",0.8,0,1,-0.8,0.8,2.6,3014.2,0.1,1
"30",30,0,"b",-0.18,0.02,1.25,-2.19,-0.25,2.03,3230.18,0.14,1
