name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13061.1,0.285376,11.8358,-13081.4,-13060.9,-13042.2,1720.13,0.0184524,1.00105
"accept_stat__",0.860188,0.00373616,0.156768,0.595481,0.902533,0.995113,1760.62,0.0188867,1.00366
"stepsize__",0.16663,0.0121765,0.0149243,0.15549,0.156676,0.187723,1.50225,1.61152e-05,1.32454e+13
"treedepth__",4.11483,0.0306886,1.17822,2,5,5,1474.01,0.0158122,1.00173
"n_leapfrog__",23.7757,0.250843,9.73655,4,31,31,1506.63,0.0161621,1.00158
"divergent__",0.4705,0.00953438,0.499171,0,0,1,2741.02,0.0294039,1
"energy__",13190.2,0.400442,16.3625,13164.3,13189.7,13217.5,1669.62,0.0179106,1.00132
"r[1]",0.87,0.0053,0.32,0.43,0.83,1.4,3641,0.039,1.00
"r[2]",3.7,0.011,0.73,2.6,3.6,5.0,4160,0.045,1.0
"r[3]",0.25,0.0019,0.13,0.086,0.23,0.49,4482,0.048,1.0
"r[4]",0.21,0.0018,0.12,0.065,0.19,0.45,4443,0.048,1.0
"r[5]",0.72,0.0047,0.31,0.29,0.68,1.3,4290,0.046,1.0
"r[6]",0.61,0.0050,0.31,0.20,0.56,1.2,3729,0.040,1.0
"r[7]",19,0.11,5.3,13,18,27,2425,0.026,1.0
"r[8]",0.80,0.0059,0.39,0.23,0.76,1.5,4432,0.048,1.00
"r[9]",0.45,0.0032,0.22,0.16,0.42,0.88,4892,0.052,1.00
"r[10]",2.7,0.0090,0.58,1.8,2.7,3.7,4120,0.044,1.00
"r[11]",0.44,0.0036,0.23,0.14,0.40,0.88,4173,0.045,1.00
"r[12]",0.59,0.0055,0.34,0.15,0.54,1.3,3823,0.041,1.00
"r[13]",0.79,0.0059,0.38,0.28,0.74,1.5,4093,0.044,1.00
"r[14]",1.7,0.0090,0.55,0.86,1.6,2.7,3785,0.041,1.0
"r[15]",1.8,0.0084,0.52,1.00,1.7,2.7,3774,0.040,1.00
"r[16]",1.8,0.0094,0.52,1.0,1.8,2.8,3057,0.033,1.0
"r[17]",1.5,0.0063,0.42,0.92,1.5,2.3,4487,0.048,1.0
"r[18]",0.46,0.0030,0.21,0.17,0.43,0.83,4743,0.051,1.0
"r[19]",0.52,0.0048,0.32,0.13,0.45,1.1,4471,0.048,1.00
"r[20]",1.9,0.0085,0.56,1.0,1.8,2.9,4425,0.047,1.00
"r[21]",4.6,0.014,0.94,3.1,4.5,6.2,4267,0.046,1.0
"r[22]",1.5,0.0089,0.55,0.69,1.5,2.5,3851,0.041,1.00
"r[23]",0.82,0.0055,0.30,0.38,0.79,1.4,3095,0.033,1.0
"r[24]",0.45,0.0040,0.24,0.13,0.40,0.91,3653,0.039,1.0
