name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12924.6,0.320732,12.0327,-12944.6,-12924.2,-12905.5,1407.47,0.00762154,0.999995
"accept_stat__",0.836113,0.0645349,0.226091,0.250874,0.9308,0.997455,12.2737,6.64631e-05,1.07407
"stepsize__",0.0774483,0.00771504,0.00945605,0.0660917,0.0770132,0.08924,1.50225,8.1348e-06,1.49524e+13
"treedepth__",5.15283,0.0493997,1.23655,3,6,6,626.58,0.00339297,1.01273
"n_leapfrog__",49.1265,0.752214,19.7275,8,63,63,687.801,0.00372449,1.0134
"divergent__",0.432167,0.0142839,0.495419,0,0,1,1202.96,0.00651411,1.00989
"energy__",13053.7,0.426273,16.6097,13026.6,13053.3,13081.5,1518.27,0.00822156,1.00043
"r[1]",0.36,0.0038,0.21,0.10,0.32,0.78,3123,0.017,1.00
"r[2]",2.7,0.010,0.56,1.9,2.7,3.7,2983,0.016,1.0
"r[3]",0.66,0.0050,0.27,0.29,0.63,1.1,2767,0.015,1.0
"r[4]",0.73,0.0044,0.27,0.35,0.69,1.2,3739,0.020,1.0
"r[5]",1.5,0.0100,0.51,0.79,1.5,2.5,2580,0.014,1.0
"r[6]",1.5,0.0079,0.47,0.85,1.5,2.4,3620,0.020,1.0
"r[7]",6.4,0.022,1.2,4.6,6.3,8.5,3112,0.017,1.0
"r[8]",1.0,0.0081,0.45,0.41,0.99,1.8,3069,0.017,1.00
"r[9]",0.44,0.0044,0.23,0.13,0.40,0.87,2717,0.015,1.0
"r[10]",0.78,0.0049,0.30,0.35,0.75,1.3,3714,0.020,1.0
"r[11]",4.6,0.017,0.94,3.2,4.5,6.2,3080,0.017,1.00
"r[12]",0.40,0.0049,0.27,0.096,0.33,0.92,3108,0.017,1.0
"r[13]",0.80,0.0087,0.44,0.22,0.73,1.6,2535,0.014,1.0
"r[14]",1.2,0.0088,0.50,0.51,1.2,2.2,3169,0.017,1.0
"r[15]",1.3,0.0096,0.58,0.49,1.3,2.4,3672,0.020,1.0
"r[16]",3.2,0.014,0.81,2.1,3.2,4.7,3391,0.018,1.0
"r[17]",2.0,0.014,0.65,1.0,1.9,3.1,2210,0.012,1.0
"r[18]",3.8,0.015,0.84,2.5,3.7,5.3,3192,0.017,1.0
"r[19]",0.50,0.0064,0.33,0.12,0.42,1.1,2705,0.015,1.0
"r[20]",3.0,0.016,0.84,1.8,2.9,4.5,2758,0.015,1.0
"r[21]",1.2,0.012,0.62,0.30,1.1,2.3,2820,0.015,1.0
"r[22]",5.7,0.019,1.2,4.0,5.6,7.8,3817,0.021,1.0
"r[23]",2.4,0.013,0.69,1.3,2.4,3.6,3053,0.017,1.00
"r[24]",0.98,0.0089,0.52,0.27,0.90,1.9,3410,0.018,1.00
"r[25]",5.5,0.024,1.4,3.5,5.4,7.9,3125,0.017,1.0
"r[26]",1.8,0.017,0.96,0.44,1.7,3.5,3299,0.018,1.0
