name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-3511.15,0.202819,8.38949,-3525.26,-3510.88,-3497.98,1711.02,0.0801011,1.00111
"accept_stat__",0.839726,0.0084195,0.192512,0.482811,0.896367,0.998196,522.811,0.0244754,1.01734
"stepsize__",0.25987,0.022439,0.0275027,0.224004,0.26478,0.290827,1.50225,7.03279e-05,2.13499e+13
"treedepth__",3.40783,0.0256803,1.00781,1,4,4,1540.12,0.0721006,1.00293
"n_leapfrog__",12.5717,0.10906,4.27496,2,15,15,1536.49,0.0719306,1.00291
"divergent__",0.329667,0.00940457,0.470131,0,0,1,2498.97,0.116989,1.00344
"energy__",3576.95,0.273409,11.709,3558.23,3576.64,3597.11,1834.06,0.0858612,1.00189
"r[1]",0.53,0.0043,0.28,0.17,0.47,1.1,4276,0.20,1.0
"r[2]",0.23,0.0018,0.12,0.081,0.21,0.45,4284,0.20,1.0
"r[3]",1.3,0.012,0.82,0.34,1.1,2.9,4645,0.22,1.0
"r[4]",0.62,0.0044,0.29,0.24,0.57,1.1,4380,0.21,1.0
"r[5]",0.66,0.0055,0.36,0.21,0.59,1.4,4288,0.20,1.0
"r[6]",0.38,0.0035,0.22,0.11,0.33,0.82,4126,0.19,1.0
"r[7]",0.35,0.0034,0.23,0.082,0.30,0.80,4676,0.22,1.0
"r[8]",1.3,0.0055,0.37,0.75,1.3,2.0,4639,0.22,1.00
"r[9]",1.9,0.0082,0.56,1.1,1.9,2.9,4717,0.22,1.0
"r[10]",0.50,0.0027,0.21,0.21,0.47,0.89,5995,0.28,1.0
"r[11]",0.81,0.0045,0.31,0.38,0.77,1.4,4700,0.22,1.0
"r[12]",0.88,0.0051,0.33,0.42,0.83,1.5,4307,0.20,1.0
"r[13]",0.97,0.0096,0.65,0.22,0.82,2.2,4554,0.21,1.0
"r[14]",0.74,0.0033,0.22,0.42,0.72,1.1,4523,0.21,1.0
