name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-3278.49,0.185108,8.04916,-3292.14,-3278.2,-3265.68,1890.82,0.0807887,1.00174
"accept_stat__",0.852735,0.0230513,0.188775,0.482106,0.912743,0.998712,67.0657,0.00286551,1.02277
"stepsize__",0.24604,0.0291882,0.0357749,0.21058,0.232522,0.295017,1.50225,6.41865e-05,1.89293e+13
"treedepth__",3.60033,0.0245934,0.879998,1,4,4,1280.34,0.0547048,1.00333
"n_leapfrog__",13.5345,0.118209,4.05991,3,15,15,1179.6,0.0504004,1.00686
"divergent__",0.224667,0.00924639,0.417397,0,0,1,2037.77,0.0870675,1.00233
"energy__",3344.53,0.273411,11.5206,3326.32,3344.14,3364.03,1775.48,0.0758608,1.00145
"r[1]",0.56,0.0058,0.36,0.13,0.48,1.2,3893,0.17,1.0
"r[2]",5.3,0.014,0.92,3.9,5.2,6.9,4265,0.18,1.00
"r[3]",4.4,0.029,2.0,1.6,4.2,8.1,4670,0.20,1.00
"r[4]",1.3,0.0061,0.45,0.61,1.2,2.1,5369,0.23,1.00
"r[5]",1.2,0.0076,0.55,0.48,1.1,2.2,5260,0.22,1.00
"r[6]",0.28,0.0026,0.18,0.075,0.23,0.62,4777,0.20,1.0
"r[7]",0.47,0.0047,0.30,0.12,0.40,1.1,4193,0.18,1.0
"r[8]",1.3,0.0058,0.39,0.77,1.3,2.1,4572,0.20,1.00
"r[9]",0.74,0.0048,0.34,0.29,0.69,1.4,5167,0.22,1.00
"r[10]",1.4,0.0055,0.39,0.86,1.4,2.2,5138,0.22,1.0
"r[11]",0.71,0.0039,0.28,0.32,0.67,1.2,5109,0.22,1.0
"r[12]",0.58,0.0037,0.26,0.23,0.54,1.1,5149,0.22,1.0
"r[13]",0.87,0.0089,0.58,0.21,0.73,2.0,4316,0.18,1.0
"r[14]",2.1,0.0071,0.45,1.5,2.1,2.9,3939,0.17,1.0
"r[15]",0.44,0.0032,0.22,0.16,0.41,0.84,4626,0.20,1.00
"r[16]",0.72,0.0037,0.25,0.37,0.69,1.2,4759,0.20,1.0
"r[17]",1.6,0.0098,0.67,0.69,1.5,2.9,4733,0.20,1.0
"r[18]",1.1,0.0053,0.37,0.56,1.0,1.8,5058,0.22,1.0
"r[19]",1.8,0.036,2.0,0.21,1.1,5.3,3171,0.14,1.0
"r[20]",0.82,0.0041,0.28,0.42,0.79,1.3,4684,0.20,1.00
"r[21]",3.6,0.017,1.1,2.0,3.4,5.6,4194,0.18,1.0
"r[22]",0.88,0.0064,0.45,0.30,0.80,1.7,4981,0.21,1.00
"r[23]",1.3,0.0063,0.42,0.72,1.3,2.1,4565,0.20,1.0
"r[24]",2.1,0.011,0.66,1.2,2.0,3.3,3683,0.16,1.0
"r[25]",0.49,0.0044,0.32,0.12,0.43,1.1,5345,0.23,1.0
"r[26]",2.1,0.012,0.85,0.96,2.0,3.7,5329,0.23,1.0
"r[27]",0.66,0.0040,0.28,0.28,0.62,1.2,4892,0.21,1.00
"r[28]",1.3,0.020,1.4,0.19,0.87,3.9,4536,0.19,1.0
"r[29]",0.80,0.0094,0.66,0.14,0.61,2.1,4924,0.21,1.00
"r[30]",2.9,0.0097,0.61,2.0,2.9,4.0,3911,0.17,1.0
"r[31]",0.36,0.0029,0.20,0.11,0.32,0.73,4595,0.20,1.00
"r[32]",0.40,0.0040,0.28,0.10,0.33,0.92,4828,0.21,1.00
"r[33]",2.5,0.0097,0.67,1.5,2.4,3.7,4820,0.21,1.00
"r[34]",5.6,0.025,1.7,3.2,5.5,8.7,4560,0.19,1.00
"r[35]",2.7,0.0098,0.64,1.7,2.6,3.8,4245,0.18,1.00
"r[36]",2.6,0.024,1.6,0.61,2.4,5.6,4429,0.19,1.00
"r[37]",1.1,0.014,0.86,0.20,0.88,2.8,3595,0.15,1.0
"r[38]",0.34,0.0026,0.19,0.10,0.30,0.69,5229,0.22,1.0
"r[39]",0.79,0.010,0.68,0.14,0.60,2.1,4366,0.19,1.0
"r[40]",0.52,0.0060,0.38,0.12,0.42,1.3,3976,0.17,1.00
"r[41]",0.96,0.013,0.90,0.16,0.68,2.7,4644,0.20,1.0
"r[42]",1.0,0.015,0.98,0.16,0.75,3.0,4248,0.18,1.00
"r[43]",1.2,0.0083,0.59,0.45,1.1,2.3,5167,0.22,1.00
"r[44]",1.0,0.0097,0.62,0.30,0.89,2.2,4078,0.17,1.0
"r[45]",0.95,0.0041,0.27,0.56,0.93,1.4,4417,0.19,1.0
"r[46]",0.70,0.0044,0.32,0.27,0.65,1.3,5205,0.22,1.00
"r[47]",1.9,0.0070,0.51,1.2,1.9,2.8,5260,0.22,1.0
"r[48]",0.67,0.0068,0.48,0.14,0.55,1.6,5015,0.21,1.00
"r[49]",6.1,0.037,2.3,2.9,5.8,10,3915,0.17,1.00
"r[50]",0.42,0.0026,0.17,0.18,0.40,0.74,4556,0.19,1.00
"r[51]",0.16,0.0012,0.084,0.056,0.15,0.33,4782,0.20,1.00
"r[52]",0.36,0.0035,0.24,0.090,0.30,0.83,4746,0.20,1.0
"r[53]",1.2,0.0081,0.55,0.45,1.1,2.2,4607,0.20,1.0
"r[54]",2.1,0.016,1.1,0.70,1.9,4.2,4711,0.20,1.0
"r[55]",3.1,0.013,0.82,1.9,3.0,4.5,4265,0.18,1.00
"r[56]",0.66,0.0063,0.43,0.17,0.56,1.5,4754,0.20,1.00
"r[57]",3.3,0.011,0.78,2.2,3.2,4.7,5044,0.22,1.0
"r[58]",0.54,0.0051,0.34,0.14,0.46,1.2,4522,0.19,1.00
"r[59]",1.0,0.0074,0.48,0.38,0.92,1.9,4266,0.18,1.00
"r[60]",0.50,0.0052,0.31,0.14,0.44,1.1,3573,0.15,1.00
"r[61]",0.25,0.0022,0.16,0.066,0.21,0.55,5211,0.22,1.0
"r[62]",0.69,0.0051,0.37,0.22,0.61,1.4,5314,0.23,1.0
"r[63]",0.25,0.0024,0.16,0.069,0.21,0.56,4384,0.19,1.0
"r[64]",0.44,0.0030,0.21,0.17,0.40,0.84,5081,0.22,1.00
"r[65]",0.49,0.0051,0.36,0.12,0.40,1.2,4896,0.21,1.0
"r[66]",1.7,0.0092,0.67,0.79,1.6,2.9,5255,0.22,1.00
